Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val	organism	Category
0	5	0.987533034093328	37296		0.00544836781847359	Human herpesvirus 8	Human_viruses
0	2	0.987533034093328	37959		0.00544836781847359	Human papillomavirus 38	Human_viruses
0	13	0.987533034093328	380337		0.00544836781847359	Influenza A virus (strain A/Equine/Prague/1/1956 H7N7)	Human_viruses
1	35	0.987533034093328	381517		0.00544836781847359	Influenza A virus (strain A/Udorn/307/1972 H3N2)	Human_viruses
5	50	0.987533034093328	381518		0.00544836781847359	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)	Human_viruses
2	7	0.987533034093328	382835		0.00544836781847359	Influenza A virus	Human_viruses
1	30	0.987533034093328	385599		0.00544836781847359	Influenza A virus (strain A/Udorn/1972 H3N2)	Human_viruses
2	18	0.987533034093328	392809		0.00544836781847359	Influenza A virus (strain A/Victoria/3/1975 H3N2)	Human_viruses
0	20	0.987533034093328	402527		0.00544836781847359	Influenza A virus (strain A/Chicken/Scotland/1959 H5N1)	Human_viruses
0	7	0.987533034093328	442553		0.00544836781847359	Influenza A virus	Human_viruses
2	13	0.987533034093328	512345		0.00544836781847359	Hepatitis E virus genotype 3 (isolate Swine/United States/swUS1)	Non-human_viruses_that_infect_humans
4	27	0.987533034093328	512346		0.00544836781847359	Hepatitis E virus genotype 1 (isolate Human/India/Hyderabad)	Human_viruses
0	21	0.987533034093328	644788		0.00544836781847359	Influenza A virus	Human_viruses
0	3	0.987533034093328	648242		0.00544836781847359	Adeno-associated virus 2 (isolate Srivastava/1982)	Human_viruses
3	40	0.987533034093328	694009		0.00544836781847359	Severe acute respiratory syndrome coronavirus	Non-human_viruses_that_infect_humans
6	78	0.987533034093328	82830		0.00544836781847359	Epstein-Barr virus (strain AG876)	Human_viruses
2	25	0.987533034093328	868565		0.00544836781847359	Human herpesvirus 8 type P (isolate GK18)	Human_viruses
2	23	0.987533034093328	928302		0.00544836781847359	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Human_viruses
0	5	0.987533034093328	997555		0.00544836781847359	Influenza A virus	Human_viruses
